,Unnamed: 0,Time ,User's full name ,Affected user ,Event context ,Component ,Name of event ,Description ,Origin ,IP address 
2829,2829,8.01.2021 10:58:04,121,-,Task: Presentation of sample exam logs and video ,Task ,The course module has been viewed. ,The user with id '153879' viewed the 'assign' activity with course module id '542234'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2830,2830,8.01.2021 10:57:50,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2832,2832,8.01.2021 10:54:41,121,-,File: 8.01 Exam programming tasks ,File ,The course module has been viewed. ,The user with id '153879' viewed the 'resource' activity with course module id '829925'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2833,2833,8.01.2021 10:54:38,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2834,2834,8.01.2021 10:54:33,121,-,Test: 8.01 Point 1 of the examination 1 ,Test ,The course module has been viewed. ,The user with id '153879' viewed the 'quiz' activity with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2835,2835,8.01.2021 10:54:32,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,The test has been performed ,The user with id '153879' has submitted the attempt with id '4362606' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2836,2836,8.01.2021 10:54:32,121,121,Course: Programming (LTAT.03.001) ,System ,The user is rated ,The user with id '153879' updated the grade with id '13815722' for the user with id '153879' for the grade item with id '108528'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2838,2838,8.01.2021 10:54:29,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test summary was reviewed ,The user with id '153879' has viewed the summary for the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2839,2839,8.01.2021 10:54:26,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2840,2840,8.01.2021 10:54:19,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2841,2841,8.01.2021 10:54:18,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2842,2842,8.01.2021 10:54:15,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2843,2843,8.01.2021 10:54:14,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2844,2844,8.01.2021 10:54:12,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2845,2845,8.01.2021 10:54:11,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2846,2846,8.01.2021 10:54:05,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2847,2847,8.01.2021 10:53:43,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2848,2848,8.01.2021 10:53:41,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2849,2849,8.01.2021 10:53:39,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2850,2850,8.01.2021 10:53:37,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2851,2851,8.01.2021 10:53:31,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2852,2852,8.01.2021 10:53:29,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2876,2876,8.01.2021 10:45:43,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2882,2882,8.01.2021 10:44:13,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2912,2912,8.01.2021 10:39:15,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2933,2933,8.01.2021 10:36:59,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2965,2965,8.01.2021 10:27:55,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2966,2966,8.01.2021 10:27:52,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362606' belonging to the user with id '153879' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2967,2967,8.01.2021 10:27:52,121,121,Test: 8.01 Point 1 of the examination 1 ,Test ,Test aid has been started ,The user with id '153879' has started the attempt with id '4362606' for the quiz with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2969,2969,8.01.2021 10:27:48,121,-,Test: 8.01 Point 1 of the examination 1 ,Test ,The course module has been viewed. ,The user with id '153879' viewed the 'quiz' activity with course module id '543123'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2975,2975,8.01.2021 10:27:39,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2976,2976,8.01.2021 10:27:33,121,-,Test: 8.01 Estimated part of the exam ,Test ,The course module has been viewed. ,The user with id '153879' viewed the 'quiz' activity with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2977,2977,8.01.2021 10:27:32,121,121,Test: 8.01 Estimated part of the exam ,Test ,The test has been performed ,The user with id '153879' has submitted the attempt with id '4362028' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2978,2978,8.01.2021 10:27:32,121,121,Course: Programming (LTAT.03.001) ,System ,The user is rated ,The user with id '153879' updated the grade with id '13815723' for the user with id '153879' for the grade item with id '101890'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2979,2979,8.01.2021 10:27:32,121,121,Course: Programming (LTAT.03.001) ,System ,The user is rated ,The user with id '153879' updated the grade with id '13815729' for the user with id '153879' for the grade item with id '108515'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2980,2980,8.01.2021 10:27:32,121,121,Test: 8.01 Estimated part of the exam ,System ,The course of completion of the course is updated ,The user with id '153879' updated the completion state for the course module with id '543104' for the user with id '153879'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2981,2981,8.01.2021 10:27:27,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test summary was reviewed ,The user with id '153879' has viewed the summary for the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2982,2982,8.01.2021 10:27:24,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2996,2996,8.01.2021 10:24:50,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2998,2998,8.01.2021 10:24:32,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2999,2999,8.01.2021 10:24:30,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3000,3000,8.01.2021 10:24:29,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3051,3051,8.01.2021 10:20:35,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3052,3052,8.01.2021 10:20:32,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3053,3053,8.01.2021 10:20:30,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3054,3054,8.01.2021 10:20:25,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3060,3060,8.01.2021 10:16:54,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3061,3061,8.01.2021 10:16:50,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3062,3062,8.01.2021 10:16:42,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3064,3064,8.01.2021 10:16:34,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3098,3098,8.01.2021 10:11:55,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3127,3127,8.01.2021 10:03:12,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3130,3130,8.01.2021 10:02:03,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3139,3139,8.01.2021 10:00:58,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3140,3140,8.01.2021 10:00:55,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test performance test was reviewed ,The user with id '153879' has viewed the attempt with id '4362028' belonging to the user with id '153879' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3141,3141,8.01.2021 10:00:55,121,121,Test: 8.01 Estimated part of the exam ,Test ,Test aid has been started ,The user with id '153879' has started the attempt with id '4362028' for the quiz with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3145,3145,8.01.2021 10:00:47,121,-,Test: 8.01 Estimated part of the exam ,Test ,The course module has been viewed. ,The user with id '153879' viewed the 'quiz' activity with course module id '543104'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3149,3149,8.01.2021 10:00:23,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3150,3150,8.01.2021 10:00:19,121,-,Poll: Declaration ,Poll ,The course module has been viewed. ,The user with id '153879' viewed the 'choice' activity with course module id '824139'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3151,3151,8.01.2021 10:00:19,121,121,Poll: Declaration ,Poll ,The survey answer was added ,"The user with id '153879' has added the option with id '18054' for the
            user with id '153879' from the choice activity with course module id '824139'.",web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3152,3152,8.01.2021 10:00:19,121,121,Poll: Declaration ,System ,The course of completion of the course is updated ,The user with id '153879' updated the completion state for the course module with id '824139' for the user with id '153879'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3156,3156,8.01.2021 10:00:15,121,-,Poll: Declaration ,Poll ,The course module has been viewed. ,The user with id '153879' viewed the 'choice' activity with course module id '824139'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3159,3159,8.01.2021 10:00:08,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3168,3168,8.01.2021 09:58:01,121,-,File: Rules for Exam (and Follow-up) ,File ,The course module has been viewed. ,The user with id '153879' viewed the 'resource' activity with course module id '828095'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3254,3254,8.01.2021 09:04:54,121,-,Test: Estimated part of the sample exam ,Test ,The course module has been viewed. ,The user with id '153879' viewed the 'quiz' activity with course module id '541442'.,web,84.50.39.95
3255,3255,8.01.2021 09:04:19,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3256,3256,8.01.2021 09:04:00,121,-,Task: Presentation of sample exam logs and video ,Task ,The submitted work status has been viewed. ,The user with id '153879' has viewed the submission status page for the assignment with course module id '542234'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3257,3257,8.01.2021 09:04:00,121,-,Task: Presentation of sample exam logs and video ,Task ,The course module has been viewed. ,The user with id '153879' viewed the 'assign' activity with course module id '542234'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3258,3258,8.01.2021 09:03:22,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3259,3259,8.01.2021 09:01:05,121,-,File: Rules for Exam (and Follow-up) ,File ,The course module has been viewed. ,The user with id '153879' viewed the 'resource' activity with course module id '828095'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3260,3260,8.01.2021 08:59:07,121,-,File: Rules for Exam (and Follow-up) ,File ,The course module has been viewed. ,The user with id '153879' viewed the 'resource' activity with course module id '828095'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
3261,3261,8.01.2021 08:58:45,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
